W,VAR,VA,f,V,PF,A,Label
207.973,-30.954,210.264,50.18,232.95,0.989,0.903,"Fan,Motor,Laptop,Iron"
213.602,-32.615,216.078,50.19,232.96,0.989,0.928,"Fan,Motor,Laptop,Iron"
207.141,-29.605,209.246,50.18,232.95,0.99,0.898,"Fan,Motor,Laptop,Iron"
208.671,-29.459,210.74,50.17,233.01,0.99,0.904,"Fan,Motor,Laptop,Iron"
207.837,-31.082,210.149,50.18,231.66,0.989,0.907,"Fan,Motor,Laptop,Iron"
213.177,-32.408,215.626,50.18,232.1,0.989,0.929,"Fan,Motor,Laptop,Iron"
219.358,-31.59,221.621,50.18,232.03,0.99,0.955,"Fan,Motor,Laptop,Iron"
207.894,-29.769,210.015,50.19,231.91,0.99,0.906,"Fan,Motor,Laptop,Iron"
213.056,-30.368,215.209,50.18,231.88,0.99,0.928,"Fan,Motor,Laptop,Iron"
207.909,-29.754,210.027,50.18,232.05,0.99,0.905,"Fan,Motor,Laptop,Iron"
207.145,-28.944,209.157,50.18,231.97,0.99,0.902,"Fan,Motor,Laptop,Iron"
207.604,-28.998,209.619,50.21,232.06,0.99,0.903,"Fan,Motor,Laptop,Iron"
203.99,-28.15,205.923,50.19,231.99,0.991,0.888,"Fan,Motor,Laptop,Iron"
199.53,-26.649,201.302,50.2,232.04,0.991,0.868,"Fan,Motor,Laptop"
199.677,-26.636,201.446,50.16,232.21,0.991,0.868,"Fan,Motor,Laptop"
199.136,-26.458,200.886,50.19,232.04,0.991,0.866,"Fan,Motor,Laptop"
199.692,-26.933,201.5,50.19,232.1,0.991,0.868,"Fan,Motor,Laptop"
197.882,-26.25,199.616,50.21,232.15,0.991,0.86,"Fan,Motor,Laptop"
199.266,-26.708,201.048,50.18,232.05,0.991,0.866,"Fan,Motor,Laptop"
202.763,-27.332,204.597,50.2,232,0.991,0.882,"Fan,Motor,Laptop,Iron"
204.84,-27.783,206.716,50.2,232.01,0.991,0.891,"Fan,Motor,Laptop,Iron"
204.257,-28.862,206.286,50.18,231.96,0.99,0.889,"Fan,Motor,Laptop,Iron"
206.794,-28.758,208.784,50.2,232.01,0.99,0.9,"Fan,Motor,Laptop,Iron"
210.96,-29.761,213.283,50.19,231.97,0.99,0.918,"Fan,Motor,Laptop,Iron"
208.461,-29.9,215.047,50.2,232.01,0.99,0.907,"Fan,Motor,Laptop,Iron"
218.325,-29.721,212.411,50.2,232.07,0.99,0.915,"Fan,Motor,Laptop,Iron"
217.127,-29.757,212.067,50.19,231.98,0.99,0.914,"Fan,Motor,Laptop,Iron"
210.195,-28.478,207.801,50.19,232.16,0.991,0.895,"Fan,Motor,Laptop,Iron"
208.491,-29.379,211.516,50.19,232.27,0.99,0.911,"Fan,Motor,Laptop,Iron"
210.399,-30.461,212.592,50.18,232.11,0.99,0.916,"Fan,Motor,Laptop,Iron"
213.599,-30.923,215.825,50.2,232.12,0.99,0.93,"Fan,Motor,Laptop,Iron"
197.775,-25.885,199.461,50.23,232.15,0.992,0.859,"Fan,Motor,Laptop"
205.714,-28.506,207.68,50.21,232.21,0.991,0.894,"Fan,Motor,Laptop,Iron"
217.021,-31.043,219.23,50.2,232.23,0.99,0.944,"Fan,Motor,Laptop,Iron"
213.37,-29.766,215.436,50.23,232.2,0.99,0.928,"Fan,Motor,Laptop,Iron"
210.429,-30.117,212.573,50.21,232.22,0.99,0.915,"Fan,Motor,Laptop,Iron"
210.023,-30.226,212.187,50.22,232.3,0.99,0.913,"Fan,Motor,Laptop,Iron"
209.479,-30.383,211.671,50.23,232.23,0.99,0.911,"Fan,Motor,Laptop,Iron"
207.906,-29.787,210.029,50.23,232.29,0.99,0.904,"Fan,Motor,Laptop,Iron"
207.464,-29.59,209.564,50.21,232.28,0.99,0.902,"Fan,Motor,Laptop,Iron"
206.597,-29.356,208.672,50.23,232.33,0.99,0.898,"Fan,Motor,Laptop,Iron"
208.126,-29.991,210.276,50.22,232.41,0.99,0.905,"Fan,Motor,Laptop,Iron"
206.158,-29.049,208.194,50.21,232.33,0.99,0.896,"Fan,Motor,Laptop,Iron"
200.836,-27.332,202.687,50.22,232.43,0.991,0.872,"Fan,Motor,Laptop,Iron"
202.141,-28.303,204.113,50.23,232.4,0.99,0.878,"Fan,Motor,Laptop,Iron"
203.938,-29.07,206,50.2,232.38,0.99,0.886,"Fan,Motor,Laptop,Iron"
202.191,-28.507,204.19,50.21,232.42,0.99,0.879,"Fan,Motor,Laptop,Iron"
201.073,-27.553,202.952,50.21,232.41,0.991,0.873,"Fan,Motor,Laptop,Iron"
201.26,-27.578,203.141,50.21,232.23,0.991,0.875,"Fan,Motor,Laptop,Iron"
203.014,-28.082,204.947,50.22,232.39,0.991,0.882,"Fan,Motor,Laptop,Iron"
202.963,-28.27,204.922,50.23,232.36,0.99,0.882,"Fan,Motor,Laptop,Iron"
201.2,-27.627,203.088,50.23,232.41,0.991,0.874,"Fan,Motor,Laptop,Iron"
